GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AEMMETSW,model.carrelloService,CarrelloDAO,254,3,16,0,73,1,14,1,6,1
AEMMETSW,model.carrelloService,RigaCarrelloDAO,259,3,14,0,77,1,13,1,6,1
AEMMETSW,model.carrelloService,Carrello,6,25,0,0,2,11,2,7,2,7
AEMMETSW,model.carrelloService,RigaCarrello,7,17,0,0,3,7,2,5,2,5
AEMMETSW,controller,InitServlet,18,0,0,0,6,0,2,0,2,0
AEMMETSW,model.gestoreService,Gestore,11,6,0,0,5,2,3,2,3,2
AEMMETSW,model.gestoreService,GestoreDAO,186,3,12,0,57,1,11,1,5,1
AEMMETSW,controller.admin.gestisciOrdini,CambiaGestore,36,0,0,0,9,0,2,0,2,0
AEMMETSW,controller.admin.gestisciOrdini,GestisciOrdiniByUtente,39,0,0,0,10,0,2,0,2,0
AEMMETSW,controller.admin.gestisciOrdini,EliminaOrdine,27,0,0,0,7,0,2,0,2,0
AEMMETSW,controller.admin.gestisciOrdini,GestisciOrdiniServlet,41,0,4,0,10,0,4,0,2,0
AEMMETSW,controller.admin.gestisciOrdini,ModificaStato,49,0,2,0,12,0,3,0,2,0
AEMMETSW,controller.admin.gestisciOrdini,ModificaMatricolaSupporto,78,0,4,0,19,0,4,0,2,0
AEMMETSW,model.ordineService,RigaOrdine,12,19,0,0,4,9,4,5,4,5
AEMMETSW,model.ordineService,OrdineDAO,468,3,26,0,130,1,22,1,9,1
AEMMETSW,model.ordineService,RigaOrdineDAO,238,0,12,0,70,0,12,0,6,0
AEMMETSW,model.ordineService,Ordine,34,53,0,0,12,25,11,14,11,14
AEMMETSW,model.utenteService,UtenteDAO,616,3,46,0,170,1,35,1,12,1
AEMMETSW,model.utenteService,Utente,15,52,0,0,5,19,3,8,3,8
AEMMETSW,controller.utente.ordine,OrdineServlet,46,345,12,14,8,80,11,9,0,7
AEMMETSW,controller.utente.ordine,RiepilogoOrdine,47,0,2,0,13,0,3,0,2,0
AEMMETSW,controller.utente.ordine,OrdineSupporto,8,69,1,7,2,19,1,5,0,2
AEMMETSW,controller.utente.ordine,VisualizzaOrdini,44,0,2,0,12,0,3,0,2,0
AEMMETSW,controller.utente.ordine,Pagamento,18,219,13,21,6,45,14,8,1,4
AEMMETSW,controller.utente.ordine,PagamentoEffettuato,34,143,13,15,12,34,14,6,2,4
AEMMETSW,controller.utente.ordine,PuntiServlet,104,0,6,0,27,0,5,0,2,0
AEMMETSW,controller.utente.ordine,ProcediOrdine,21,87,5,5,5,23,4,5,0,4
AEMMETSW,controller.utente.ordine,RimuoviDaOrdine,73,0,12,0,20,0,8,0,2,0
AEMMETSW,controller.admin.gestisciReparti,ModificaRepartoServlet,24,0,0,0,7,0,2,0,2,0
AEMMETSW,controller.admin.gestisciReparti,InsertLibroRepartoServlet,42,0,4,0,8,0,4,0,2,0
AEMMETSW,controller.admin.gestisciReparti,AggiornaRepartoServlet,54,0,4,0,16,0,4,0,2,0
AEMMETSW,controller.admin.gestisciReparti,AggiungiRepartoServletAppoggio,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.admin.gestisciReparti,EliminaRepartoServlet,19,0,0,0,6,0,2,0,2,0
AEMMETSW,controller.admin.gestisciReparti,AggiungiLibroRepartoServlet,61,0,4,0,15,0,4,0,2,0
AEMMETSW,controller.admin.gestisciReparti,GestisciRepartiServlet,23,0,0,0,7,0,2,0,2,0
AEMMETSW,controller.admin.gestisciReparti,AggiungiRepartoServlet,95,0,18,0,24,0,11,0,2,0
AEMMETSW,controller.HomePage,CarrelloServlet,63,0,6,0,18,0,5,0,2,0
AEMMETSW,controller.HomePage,ShowWishList,40,0,4,0,12,0,4,0,2,0
AEMMETSW,controller.HomePage,HomePageServlet,84,0,10,0,21,0,7,0,2,0
AEMMETSW,controller.HomePage,AboutUsServlet,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.HomePage,MostraRepartoServlet,106,0,10,0,28,0,7,0,2,0
AEMMETSW,controller.HomePage,ServiziServlet,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.HomePage,AreaPersonaleServlet,42,0,6,0,14,0,6,0,3,0
AEMMETSW,controller.admin.gestisciProdotti,NuovoLibroServlet,36,290,29,37,11,66,30,9,1,5
AEMMETSW,controller.admin.gestisciProdotti,AggiungiLibroSede,49,0,4,0,11,0,4,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,NuovoProdottoServletAppoggio,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,EliminaLibroReparto,29,0,0,0,8,0,2,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,ModificaLibroServlet,115,0,8,0,28,0,7,0,3,0
AEMMETSW,controller.admin.gestisciProdotti,AggiornaLibroServlet,152,0,22,0,41,0,15,0,4,0
AEMMETSW,controller.admin.gestisciProdotti,NonDisponibile,30,0,0,0,9,0,2,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,AggiungiLibroReparto,49,0,4,0,11,0,4,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,EliminaLibroSede,29,0,0,0,8,0,2,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,Disponibile,30,0,0,0,9,0,2,0,2,0
AEMMETSW,controller.admin.gestisciProdotti,GestisciProdottiServlet,32,0,0,0,10,0,3,0,3,0
AEMMETSW,model.tesseraService,TesseraDAO,337,3,18,0,92,1,16,1,7,1
AEMMETSW,model.tesseraService,Tessera,12,26,0,0,4,12,4,7,4,7
AEMMETSW,controller.utils,Validator,5,9,1,3,1,1,2,2,1,1
AEMMETSW,controller.admin,AreaPersonaleAdmin,32,0,4,0,10,0,5,0,3,0
AEMMETSW,model.wishList,WishListDAO,146,0,8,0,48,0,9,0,5,0
AEMMETSW,model.wishList,WishList,13,10,0,0,5,4,3,3,3,3
AEMMETSW,controller.admin.gestisciSedi,InsertLibroSedeServlet,42,0,4,0,8,0,4,0,2,0
AEMMETSW,controller.admin.gestisciSedi,EliminaSedeServlet,19,0,0,0,6,0,2,0,2,0
AEMMETSW,controller.admin.gestisciSedi,AggiungiSedeServletAppoggio,12,0,0,0,4,0,2,0,2,0
AEMMETSW,controller.admin.gestisciSedi,ModificaSedeServlet,24,0,0,0,7,0,2,0,2,0
AEMMETSW,controller.admin.gestisciSedi,GestisciSediServlet,23,0,0,0,7,0,2,0,2,0
AEMMETSW,controller.admin.gestisciSedi,AggiungiSedeServlet,132,0,28,0,32,0,16,0,2,0
AEMMETSW,controller.admin.gestisciSedi,AggiungiLibroSedeServlet,61,0,4,0,15,0,4,0,2,0
AEMMETSW,model,ConPool,48,0,2,0,15,0,3,0,2,0
AEMMETSW,controller.utente.supporto,ModificaPasswordSupporto,37,0,2,0,12,0,4,0,3,0
AEMMETSW,controller.utente.supporto,ModificaUtenteSupporto,17,0,0,0,6,0,3,0,3,0
AEMMETSW,controller.utente,ModificaPrefServlet,177,0,34,0,43,0,19,0,2,0
AEMMETSW,controller.utente,ModificaDatiServlet,93,0,14,0,23,0,10,0,3,0
AEMMETSW,controller.utente,MostraLibroServlet,125,0,16,0,35,0,10,0,2,0
AEMMETSW,controller.utente,EliminaAccount,25,0,0,0,8,0,2,0,2,0
AEMMETSW,controller.utente,LogoutServlet,146,0,18,0,32,0,11,0,2,0
AEMMETSW,controller.utente,ModificaTipoServlet,101,0,6,0,26,0,6,0,3,0
AEMMETSW,controller.utente,RicercaServlet,66,0,6,0,20,0,5,0,2,0
AEMMETSW,controller.utente,AggiornaCartServlet,122,0,10,0,36,0,8,0,3,0
AEMMETSW,controller.utente,AggiungiAiPrefServlet,24,118,5,11,6,28,6,6,1,3
AEMMETSW,controller.utente,AggiungiCartServlet,162,0,24,0,42,0,14,0,2,0
AEMMETSW,controller.utente,RimuoviTelefonoServlet,106,0,8,0,28,0,6,0,2,0
AEMMETSW,controller.utente,RimuoviDalCartServlet,99,0,8,0,27,0,7,0,3,0
AEMMETSW,controller.utente,LoginServlet,186,0,28,0,43,0,17,0,3,0
AEMMETSW,controller.utente,SearchBarServlet,96,0,10,0,22,0,7,0,2,0
AEMMETSW,controller.utente,RegistroUtente,31,300,19,29,9,70,18,13,1,6
AEMMETSW,controller.utente,ModificaPasswordServlet,53,0,6,0,15,0,6,0,3,0
AEMMETSW,model.libroService,AutoreDAO,167,0,10,0,51,0,10,0,5,0
AEMMETSW,model.libroService,SedeDAO,500,3,28,0,145,1,24,1,10,1
AEMMETSW,model.libroService,Sede,79,15,16,0,17,5,17,5,9,5
AEMMETSW,model.libroService,Reparto,70,0,10,0,20,0,17,0,12,0
AEMMETSW,model.libroService,RepartoDAO,477,0,28,0,140,0,25,0,11,0
AEMMETSW,model.libroService,Autore,9,15,0,0,3,7,3,4,3,4
AEMMETSW,model.libroService,Libro,20,76,2,4,6,29,8,17,6,16
AEMMETSW,model.libroService,LibroDAO,811,3,42,0,219,1,34,1,13,1
